probability,intersections_rand,intersections_alg,distancetraveled_rand,distancetraveled_alg
0.1,46.7937,36.4859,8392.741,8242.929
0.2,30.6357,23.3267,5479.219,5242.488
0.3,22.1461,17.5705,3947.543,3930.702
0.4,17.9311,13.7922,3186.706,3069.296
0.5,15.0589,11.4575,2668.444,2537.988
0.6,13.0829,9.9293,2314.483,2189.85
0.7000000000000001,11.6247,8.7245,2052.637,1915.518
0.8,10.1506,7.9589,1787.44,1741.78
0.8999999999999999,9.3157,7.1127,1633.296,1549.415
1.0,8.5158,6.4855,1493.812,1406.555
1.0999999999999999,8.1115,6.0917,1418.516,1317.476
1.2,7.4113,5.4752,1293.685,1177.468
1.3,6.7007,5.1783,1167.212,1110.224
1.4000000000000001,6.4936,4.9409,1128.52,1056.901
1.5,6.0715,4.6539,1055.042,991.54
1.6,5.7602,4.4873,999.23,954.207
1.7000000000000002,5.4977,4.1937,951.062,887.498
1.7999999999999998,5.1642,4.066,892.149,858.874
1.9,5.0051,3.8132,863.976,802.574
2.0,4.7155,3.696,812.99,775.821
2.1,4.6202,3.5913,795.004,752.462
2.1999999999999997,4.5405,3.5108,778.68,734.5
2.3,4.3172,3.3572,740.66,700.094
2.4,4.1614,3.2681,712.984,680.111
2.5,4.0396,3.1426,691.584,652.203
2.6,3.8582,3.059,658.812,633.567
2.7,3.7976,2.9445,648.115,607.638
2.8000000000000003,3.6437,2.8807,621.818,593.664
2.9000000000000004,3.5084,2.7666,597.586,568.472
3.0,3.4287,2.7318,583.323,560.91
3.1,3.3582,2.6916,570.673,552.081
3.2,3.3364,2.6317,566.619,538.594
3.3000000000000003,3.1977,2.5939,541.734,530.294
3.4000000000000004,3.1303,2.545,529.826,519.607
3.5000000000000004,3.0628,2.4646,518.007,501.851
3.5999999999999996,2.994,2.433,505.037,495.167
3.6999999999999997,2.9573,2.3599,499.87,479.043
3.8,2.8953,2.3171,488.231,469.963
3.9,2.8439,2.2958,479.142,464.843
4.0,2.7975,2.2275,470.686,450.106
4.1000000000000005,2.7493,2.2374,462.659,452.51
4.2,2.6804,2.1617,449.996,436.088
4.3,2.6552,2.1492,445.839,433.581
4.3999999999999995,2.5954,2.1164,435.59,426.284
4.5,2.5818,2.0577,433.348,413.761
4.6,2.5451,2.0731,426.92,416.501
4.7,2.4834,2.0166,415.771,404.684
4.8,2.467,1.9926,412.522,399.798
4.9,2.3811,1.9658,398.428,394.099
5.0,2.4375,1.9322,407.243,386.588
5.1,2.3358,1.9147,390.05,382.798
5.2,2.3491,1.8949,391.392,378.724
5.3,2.2968,1.9049,382.415,380.893
5.4,2.2596,1.8642,376.555,372.298
5.5,2.2348,1.8193,371.757,362.822
5.6000000000000005,2.2119,1.8117,367.411,361.106
5.7,2.1826,1.7838,362.537,355.213
5.800000000000001,2.1688,1.7545,359.61,349.408
5.8999999999999995,2.1287,1.7618,354.174,350.662
6.0,2.0834,1.7397,344.782,346.018
6.1,2.0959,1.7006,346.765,337.989
6.2,2.05,1.6936,340.689,336.455
6.3,2.0371,1.6802,337.789,333.736
6.4,2.0178,1.6524,333.85,327.805
6.5,2.0116,1.6454,332.801,326.142
6.6000000000000005,1.9707,1.6228,325.703,321.779
6.7,1.9579,1.6314,323.098,323.381
6.800000000000001,1.951,1.5985,321.304,316.979
6.9,1.9257,1.6058,318.144,318.316
7.000000000000001,1.896,1.5715,313.049,311.313
7.1,1.8981,1.5821,312.211,313.556
7.199999999999999,1.8729,1.5569,308.569,308.394
7.3,1.864,1.5437,306.149,305.29
7.3999999999999995,1.8336,1.5343,301.46,303.654
7.5,1.8525,1.5196,304.717,300.542
7.6,1.8058,1.5132,295.403,299.285
7.7,1.798,1.49,295.407,294.718
7.8,1.8023,1.4909,295.761,294.954
7.9,1.7822,1.4821,292.172,293.172
8.0,1.7604,1.4567,288.807,287.911
8.1,1.7409,1.4603,285.425,288.534
8.200000000000001,1.7416,1.4396,285.687,284.403
8.3,1.7371,1.4167,284.364,279.669
8.4,1.7249,1.4212,282.507,281.015
8.5,1.7,1.4048,278.412,277.429
8.6,1.6819,1.3948,274.888,275.504
8.7,1.6956,1.4028,276.863,277.043
8.799999999999999,1.6699,1.3916,272.988,274.815
8.9,1.6516,1.3807,270.181,272.636
9.0,1.6461,1.3795,268.632,272.443
9.1,1.6359,1.3607,267.304,268.63
9.2,1.6332,1.3541,266.211,267.435
9.3,1.619,1.3381,263.783,264.323
9.4,1.6093,1.3384,263.339,264.187
9.5,1.5812,1.3299,257.135,262.604
9.6,1.583,1.3238,258.782,261.524
9.700000000000001,1.5814,1.3205,257.029,260.685
9.8,1.5767,1.3177,256.85,260.173
9.9,1.5459,1.3158,252.08,259.859
10.0,1.5499,1.316,251.76,260.028
10.100000000000001,1.5615,1.3061,254.226,257.846
10.2,1.5393,1.2909,250.876,254.843
10.299999999999999,1.5358,1.298,249.463,256.226
10.4,1.5222,1.2696,247.838,250.932
10.5,1.5042,1.2729,244.2,251.436
10.6,1.5106,1.2639,244.663,249.68
10.7,1.4893,1.2686,241.514,250.517
10.8,1.4792,1.2615,240.261,249.072
10.9,1.4949,1.2564,242.949,248.251
11.0,1.4867,1.2586,241.791,248.659
11.1,1.46,1.2431,236.297,245.567
11.200000000000001,1.4678,1.2408,237.955,245.252
11.3,1.4555,1.2417,235.567,245.332
11.4,1.4633,1.2201,236.506,241.126
11.5,1.4574,1.2221,236.218,241.526
11.600000000000001,1.4526,1.2281,236.151,242.776
11.700000000000001,1.4388,1.2313,231.995,243.188
11.799999999999999,1.4366,1.2083,231.949,238.907
11.899999999999999,1.427,1.2068,230.733,238.604
12.0,1.4255,1.2101,230.371,239.293
12.1,1.4136,1.2057,228.638,238.373
12.2,1.4049,1.205,226.942,238.247
12.3,1.413,1.194,228.415,236.24
12.4,1.413,1.1989,228.694,237.05
12.5,1.384,1.1842,223.121,234.279
12.6,1.3882,1.1826,224.281,234.065
12.7,1.3907,1.1873,225.398,234.812
12.8,1.3886,1.1838,224.302,234.248
12.9,1.3804,1.1704,222.696,231.644
13.0,1.37,1.1655,221.389,230.72
13.100000000000001,1.3589,1.1715,219.237,231.922
13.200000000000001,1.3548,1.1674,217.677,231.041
13.3,1.3657,1.1675,219.186,231.008
13.4,1.3468,1.155,216.567,228.683
13.5,1.3405,1.154,216.125,228.56
13.600000000000001,1.333,1.1525,214.52,228.152
13.700000000000001,1.3376,1.1579,215.187,229.181
13.8,1.3342,1.1498,214.238,227.684
13.900000000000002,1.3346,1.1411,214.776,226.163
14.000000000000002,1.3301,1.1388,213.928,225.644
14.099999999999998,1.3279,1.1418,214.124,226.313
14.2,1.3222,1.1389,212.404,225.608
14.299999999999999,1.3111,1.1399,211.188,225.893
14.399999999999999,1.3054,1.1272,209.794,223.481
14.499999999999998,1.2979,1.1278,208.43,223.55
14.6,1.3096,1.1195,210.617,221.999
14.7,1.304,1.1303,209.438,224.056
14.799999999999999,1.2979,1.1269,208.677,223.373
14.899999999999999,1.284,1.1125,206.317,220.754
15.0,1.2889,1.1122,206.509,220.691
15.1,1.293,1.1142,207.108,221.045
15.2,1.282,1.1234,206.246,222.746
15.299999999999999,1.2813,1.1143,205.494,221.048
15.4,1.2804,1.1175,205.288,221.663
15.5,1.2653,1.1003,203.436,218.477
15.6,1.2801,1.1053,205.614,219.356
15.7,1.2645,1.1004,202.738,218.465
15.8,1.2584,1.0982,201.412,218.09
15.9,1.2572,1.1053,201.382,219.368
16.0,1.2556,1.0998,201.212,218.321
16.1,1.2621,1.0954,202.077,217.466
16.2,1.2435,1.0863,199.27,215.867
16.3,1.2434,1.0875,199.021,216.062
16.400000000000002,1.2531,1.0899,200.701,216.5
16.5,1.2402,1.0896,198.109,216.392
16.6,1.2424,1.0891,198.546,216.308
16.7,1.2357,1.0856,197.257,215.699
16.8,1.2414,1.0831,198.589,215.219
16.900000000000002,1.231,1.0764,196.396,214.034
17.0,1.2286,1.0752,196.582,213.809
17.1,1.2214,1.0759,195.336,213.845
17.2,1.2235,1.0748,195.799,213.638
17.299999999999997,1.2308,1.0737,196.011,213.491
17.4,1.2115,1.0762,194.107,213.893
17.5,1.2132,1.0757,194.285,213.857
17.599999999999998,1.2068,1.0723,193.369,213.221
17.7,1.2162,1.0743,194.77,213.584
17.8,1.2108,1.0657,193.228,212.042
17.9,1.2038,1.0656,192.252,211.976
18.0,1.1958,1.0669,191.056,212.198
18.099999999999998,1.192,1.0597,190.535,210.869
18.2,1.1992,1.0628,191.602,211.457
18.3,1.2029,1.0657,191.659,211.994
18.4,1.2075,1.0629,192.799,211.49
18.5,1.1976,1.0643,190.779,211.772
18.6,1.2006,1.0657,191.247,212.03
18.7,1.1869,1.0621,189.519,211.322
18.8,1.1792,1.0539,188.236,209.819
18.9,1.1836,1.0485,188.558,208.844
19.0,1.1745,1.0504,187.364,209.18
19.1,1.1735,1.0524,187.603,209.549
19.2,1.1688,1.0567,186.756,210.341
19.3,1.1725,1.0522,187.074,209.552
19.400000000000002,1.1807,1.0552,188.005,210.062
19.5,1.1723,1.0511,186.749,209.294
19.6,1.1794,1.0538,188.417,209.771
19.7,1.1737,1.0494,186.944,208.994
19.8,1.1733,1.0531,186.313,209.684
19.900000000000002,1.1601,1.0468,185.11,208.541
20.0,1.1594,1.043,184.763,207.839
20.1,1.163,1.0409,185.031,207.443
20.200000000000003,1.1604,1.0447,184.978,208.139
20.3,1.1577,1.0441,184.203,208.058
20.4,1.1553,1.042,184.466,207.632
20.5,1.1501,1.0435,183.605,207.926
20.599999999999998,1.1416,1.043,181.646,207.806
20.7,1.1562,1.0421,183.72,207.641
20.8,1.1479,1.0424,182.717,207.707
20.9,1.1474,1.0389,182.404,207.068
21.0,1.1506,1.0434,183.241,207.872
21.099999999999998,1.1501,1.0409,183.127,207.443
21.2,1.1418,1.0432,181.097,207.845
21.3,1.1503,1.034,183.324,206.18
21.4,1.143,1.0332,181.524,206.036
21.5,1.1346,1.0298,180.027,205.412
21.6,1.1303,1.0309,179.437,205.604
21.7,1.1332,1.0311,180.16,205.643
21.8,1.1335,1.0331,180.414,206.009
21.9,1.1262,1.0302,179.077,205.454
22.0,1.134,1.0324,179.301,205.871
22.1,1.1302,1.03,179.434,205.46
22.2,1.1349,1.0317,180.462,205.736
22.3,1.1253,1.0304,178.704,205.52
22.400000000000002,1.124,1.0315,178.325,205.712
22.5,1.1257,1.0301,178.965,205.466
22.6,1.1219,1.0282,178.169,205.112
22.7,1.127,1.0316,179.138,205.736
22.8,1.119,1.0316,178.438,205.733
22.900000000000002,1.1223,1.0281,178.139,205.097
23.0,1.1241,1.0306,178.303,205.529
23.1,1.1177,1.0329,177.61,205.943
23.200000000000003,1.1137,1.0235,176.941,204.26
23.3,1.1164,1.0211,177.668,203.819
23.400000000000002,1.1082,1.0215,175.758,203.909
23.5,1.1038,1.0176,174.738,203.183
23.599999999999998,1.1099,1.0184,176.415,203.333
23.7,1.1079,1.0204,175.803,203.702
23.799999999999997,1.1119,1.0196,176.653,203.552
23.9,1.1005,1.0198,175.393,203.6
24.0,1.1094,1.0213,176.14,203.861
24.099999999999998,1.1059,1.02,175.379,203.621
24.2,1.1012,1.0196,174.759,203.555
24.3,1.1023,1.0191,175.475,203.462
24.4,1.1036,1.0217,175.272,203.93
24.5,1.0999,1.021,175.062,203.798
24.6,1.1002,1.0182,174.78,203.291
24.7,1.1005,1.024,174.076,204.347
24.8,1.1011,1.016,175.477,202.895
24.9,1.0945,1.0201,173.573,203.636
25.0,1.091,1.0202,173.051,203.657
25.1,1.0905,1.02,173.381,203.615
25.2,1.1007,1.0192,174.267,203.465
25.3,1.0919,1.0225,172.994,204.08
25.4,1.0904,1.0177,172.765,203.198
25.5,1.0932,1.0239,173.136,204.335
25.6,1.0906,1.0191,173.194,203.456
25.7,1.0912,1.0226,173.118,204.083
25.8,1.0896,1.0209,172.702,203.777
25.900000000000002,1.0944,1.0211,173.719,203.81
26.0,1.0806,1.01,171.42,201.809
26.1,1.0854,1.0099,171.833,201.788
26.200000000000003,1.0833,1.0101,171.502,201.821
26.3,1.0838,1.0089,171.335,201.605
26.400000000000002,1.0853,1.0107,171.988,201.938
26.5,1.0837,1.0094,171.726,201.692
26.6,1.0816,1.0097,171.397,201.752
26.700000000000003,1.0748,1.0116,170.3,202.094
26.8,1.0759,1.0105,170.837,201.908
26.900000000000002,1.0772,1.0082,170.712,201.479
27.0,1.0752,1.0101,169.602,201.827
27.1,1.082,1.0101,171.286,201.827
27.200000000000003,1.0809,1.0078,171.225,201.413
27.3,1.0784,1.0097,170.792,201.755
27.400000000000002,1.0745,1.0119,170.333,202.151
27.500000000000004,1.0785,1.0103,170.934,201.863
27.6,1.0743,1.011,169.95,201.98
27.700000000000003,1.0686,1.0105,169.024,201.899
27.800000000000004,1.0702,1.0107,169.54,201.935
27.900000000000002,1.0689,1.0101,169.073,201.83
28.000000000000004,1.072,1.0091,169.327,201.638
28.1,1.0734,1.0109,170.064,201.971
28.199999999999996,1.064,1.011,168.884,201.989
28.299999999999997,1.0696,1.0116,169.018,202.103
28.4,1.0722,1.0102,169.46,201.842
28.499999999999996,1.068,1.01,168.937,201.803
28.599999999999998,1.0643,1.0106,168.651,201.917
