probability,intersections_rand,intersections_alg,distancetraveled_rand,distancetraveled_alg
0.1,25.642,18.0591,15418.6978,12047.8993
0.2,14.5796,10.6352,8779.3521,7103.7558
0.3,10.3551,7.1023,6238.4163,4751.2107
0.4,7.9489,5.5902,4791.7674,3744.6294
0.5,6.639,4.6707,4007.4361,3132.5273
0.6,5.7166,3.9714,3449.6406,2666.9526
0.7000000000000001,4.9136,3.4561,2976.3218,2324.0181
0.8,4.5024,3.0466,2719.6456,2051.9312
0.8999999999999999,4.1006,2.8595,2474.6536,1927.6445
1.0,3.7077,2.5751,2232.2262,1739.0925
1.0999999999999999,3.4424,2.4348,2075.0499,1645.8636
1.2,3.2288,2.2459,1939.1207,1520.4965
1.3,2.9906,2.1377,1792.6522,1448.7387
1.4000000000000001,2.8397,2.0454,1704.9289,1387.5814
1.5,2.681,1.9429,1607.5153,1319.3941
1.6,2.577,1.8327,1543.6826,1246.6743
1.7000000000000002,2.4265,1.785,1458.0037,1215.2502
1.7999999999999998,2.326,1.73,1392.6186,1178.9976
1.9,2.2361,1.6539,1335.447,1128.6221
2.0,2.1628,1.6195,1293.9839,1106.0595
2.1,2.1104,1.551,1259.0896,1060.9676
2.1999999999999997,2.0565,1.5326,1229.6007,1049.024
2.3,1.9973,1.4865,1192.8652,1018.5545
2.4,1.9199,1.4433,1141.1933,990.2051
2.5,1.9012,1.4171,1128.485,972.9335
2.6,1.8338,1.3955,1085.3424,958.7255
2.7,1.8054,1.36,1071.1613,935.397
2.8000000000000003,1.7492,1.3279,1035.1386,914.4217
2.9000000000000004,1.7349,1.3111,1022.8323,903.2995
3.0,1.6755,1.2783,987.4674,882.2465
3.1,1.6625,1.2866,980.8317,887.5634
3.2,1.6195,1.2629,954.7034,872.1381
3.3000000000000003,1.5994,1.2374,940.6001,855.5806
3.4000000000000004,1.5787,1.2219,926.1659,845.5203
3.5000000000000004,1.5565,1.2098,916.3347,837.7244
3.5999999999999996,1.5498,1.2147,908.7434,840.7177
3.6999999999999997,1.5026,1.1827,879.0911,819.9089
3.8,1.4718,1.1805,862.6184,818.6139
3.9,1.4572,1.1663,850.7726,809.3047
4.0,1.4591,1.1644,851.9911,808.1762
4.1000000000000005,1.44,1.1552,837.5692,802.197
4.2,1.4,1.1419,815.6903,793.6685
4.3,1.3969,1.1357,812.779,789.5393
4.3999999999999995,1.3819,1.1224,801.0864,781.1218
4.5,1.3661,1.108,791.9921,771.7164
4.6,1.3636,1.1124,790.9914,774.6542
4.7,1.3346,1.1004,771.789,766.9508
4.8,1.3303,1.0956,770.8338,763.7688
4.9,1.3043,1.0922,749.0154,761.571
5.0,1.3188,1.0866,759.0565,758.019
5.1,1.2921,1.0847,745.0644,756.8017
5.2,1.2807,1.0825,743.131,755.5215
5.3,1.2891,1.0738,742.8962,749.8716
5.4,1.2625,1.0764,723.9679,751.433
5.5,1.2584,1.0639,722.584,743.5705
5.6000000000000005,1.2607,1.0671,721.7271,745.6425
5.7,1.2506,1.0658,715.1484,744.7434
5.800000000000001,1.2305,1.0562,701.5033,738.6976
5.8999999999999995,1.2202,1.0488,698.6564,733.9986
6.0,1.2156,1.0505,692.0238,734.9791
6.1,1.209,1.049,690.9245,733.9838
6.2,1.2048,1.0392,687.8131,727.8344
6.3,1.211,1.039,686.7823,727.6938
6.4,1.2052,1.042,681.7169,729.603
6.5,1.1806,1.0378,669.5746,726.9538
6.6000000000000005,1.1772,1.0434,668.8071,730.4318
6.7,1.1769,1.0285,667.3145,720.9709
6.800000000000001,1.1679,1.0302,660.9963,722.1068
6.9,1.1654,1.0316,661.2014,723.0096
7.000000000000001,1.1625,1.0316,656.7846,722.9578
7.1,1.1595,1.0312,657.7844,722.7506
7.199999999999999,1.1524,1.0327,649.4719,723.6423
7.3,1.1485,1.0242,647.8066,718.2736
7.3999999999999995,1.145,1.0199,650.6738,715.5541
7.5,1.1383,1.0191,640.9131,715.0213
7.6,1.1351,1.0206,640.5123,716.0092
7.7,1.1249,1.0209,632.4467,716.1757
7.8,1.1257,1.0208,632.9848,716.1202
7.9,1.1181,1.0204,626.8522,715.876
8.0,1.117,1.0192,625.6845,715.0916
8.1,1.1128,1.0196,623.9258,715.3506
8.200000000000001,1.1065,1.0201,618.1081,715.6651
8.3,1.0982,1.0112,613.4169,710.0448
8.4,1.1059,1.0083,617.7658,708.2281
8.5,1.0971,1.0092,613.4739,708.7868
8.6,1.1034,1.0102,618.1388,709.4306
8.7,1.0958,1.0109,615.1359,709.8709
8.799999999999999,1.0904,1.0102,609.6635,709.4158
8.9,1.0847,1.0109,602.9189,709.8635
9.0,1.0838,1.0096,603.1787,709.0458
9.1,1.0833,1.0086,604.6911,708.4168
9.2,1.0787,1.009,600.7545,708.6684
9.3,1.079,1.0086,599.0684,708.4168
9.4,1.0749,1.0117,601.1368,710.3593
9.5,1.0756,1.0093,598.8931,708.8497
9.6,1.0785,1.0101,599.3563,709.3603
