intersections_rand,intersections_alg,distancetraveled_rand,distancetraveled_alg
72,6,13070.0,1440.0
13,10,2160.0,2400.0
20,2,3710.0,480.0
2,88,350.0,21120.0
56,9,10120.0,2160.0
112,2,19870.0,480.0
53,50,9790.0,12000.0
17,28,3210.0,6720.0
16,13,2850.0,3120.0
37,11,6920.0,2640.0
41,26,7480.0,6240.0
13,100,2490.0,24000.0
71,30,13660.0,7200.0
32,6,6100.0,1440.0
67,10,12040.0,2400.0
8,4,1560.0,960.0
4,37,910.0,8880.0
36,61,6660.0,14640.0
36,12,6360.0,2880.0
14,34,2430.0,8160.0
164,21,29840.0,5040.0
2,11,350.0,2640.0
23,73,4080.0,17520.0
3,6,540.0,1440.0
1,18,240.0,4320.0
46,6,8530.0,1440.0
24,57,4250.0,13680.0
61,27,10850.0,6480.0
36,14,6430.0,3360.0
19,1,3670.0,240.0
18,11,3410.0,2640.0
21,38,3790.0,9120.0
32,29,6130.0,6960.0
7,60,1450.0,14400.0
135,11,23610.0,2640.0
4,1,840.0,240.0
39,5,6660.0,1200.0
18,6,3070.0,1440.0
40,3,7220.0,720.0
6,5,1170.0,1200.0
126,5,23420.0,1200.0
71,14,12930.0,3360.0
10,36,1570.0,8640.0
61,12,10790.0,2880.0
20,17,3700.0,4080.0
4,1,800.0,240.0
7,5,1240.0,1200.0
65,3,12950.0,720.0
18,11,3330.0,2640.0
57,19,10610.0,4560.0
6,31,1190.0,7440.0
9,23,1660.0,5520.0
53,1,9470.0,240.0
5,12,850.0,2880.0
34,14,6040.0,3360.0
7,3,1330.0,720.0
22,56,4100.0,13440.0
11,13,1860.0,3120.0
23,4,4040.0,960.0
40,27,7470.0,6480.0
18,6,3280.0,1440.0
50,4,9460.0,960.0
23,5,4390.0,1200.0
42,6,7550.0,1440.0
54,21,9910.0,5040.0
27,51,5140.0,12240.0
2,6,450.0,1440.0
97,8,17900.0,1920.0
7,5,1330.0,1200.0
10,6,1840.0,1440.0
82,1,14910.0,240.0
22,5,3720.0,1200.0
38,6,7550.0,1440.0
50,7,9160.0,1680.0
4,9,900.0,2160.0
67,3,12490.0,720.0
5,7,1140.0,1680.0
2,2,480.0,480.0
24,43,4390.0,10320.0
36,6,6860.0,1440.0
24,25,4610.0,6000.0
7,3,1240.0,720.0
86,101,14900.0,24240.0
59,52,10960.0,12480.0
18,14,2970.0,3360.0
51,8,9180.0,1920.0
22,43,4180.0,10320.0
51,10,9240.0,2400.0
15,31,2670.0,7440.0
12,22,2230.0,5280.0
18,31,3050.0,7440.0
34,18,6210.0,4320.0
21,13,4000.0,3120.0
103,46,18610.0,11040.0
5,44,870.0,10560.0
36,42,6490.0,10080.0
1,2,160.0,480.0
11,1,1950.0,240.0
103,46,18570.0,11040.0
115,8,21100.0,1920.0
58,4,10380.0,960.0
17,76,3020.0,18240.0
23,29,4050.0,6960.0
64,2,11700.0,480.0
9,17,1670.0,4080.0
21,39,3790.0,9360.0
2,7,350.0,1680.0
5,66,840.0,15840.0
6,10,1130.0,2400.0
49,22,8810.0,5280.0
80,10,14770.0,2400.0
14,12,2600.0,2880.0
33,4,5990.0,960.0
50,1,8660.0,240.0
37,7,6520.0,1680.0
33,21,5970.0,5040.0
36,9,6930.0,2160.0
35,28,6510.0,6720.0
34,46,6180.0,11040.0
4,4,850.0,960.0
41,10,7670.0,2400.0
23,79,4420.0,18960.0
42,4,7490.0,960.0
28,2,5130.0,480.0
26,10,4650.0,2400.0
47,20,8730.0,4800.0
9,4,1750.0,960.0
68,59,12160.0,14160.0
22,19,4210.0,4560.0
58,16,10640.0,3840.0
179,6,32990.0,1440.0
33,10,6260.0,2400.0
15,2,2550.0,480.0
37,21,6520.0,5040.0
6,14,1240.0,3360.0
80,53,15040.0,12720.0
35,8,6290.0,1920.0
21,44,3820.0,10560.0
28,3,5530.0,720.0
4,132,960.0,31680.0
118,51,20880.0,12240.0
20,1,3320.0,240.0
24,16,4570.0,3840.0
65,20,12090.0,4800.0
5,49,950.0,11760.0
11,35,2090.0,8400.0
21,17,3980.0,4080.0
14,26,2710.0,6240.0
26,32,4750.0,7680.0
44,28,8680.0,6720.0
6,20,1170.0,4800.0
16,2,2960.0,480.0
3,33,470.0,7920.0
2,35,420.0,8400.0
17,49,3250.0,11760.0
4,28,810.0,6720.0
96,39,17530.0,9360.0
2,9,420.0,2160.0
5,6,870.0,1440.0
21,8,3920.0,1920.0
8,21,1420.0,5040.0
68,19,12570.0,4560.0
21,13,3790.0,3120.0
57,8,9950.0,1920.0
19,26,3670.0,6240.0
70,12,12430.0,2880.0
21,3,3620.0,720.0
11,7,2300.0,1680.0
18,2,3250.0,480.0
12,16,2200.0,3840.0
17,18,3130.0,4320.0
47,36,8720.0,8640.0
103,35,18610.0,8400.0
11,52,2150.0,12480.0
105,13,18780.0,3120.0
102,9,18720.0,2160.0
50,6,8800.0,1440.0
1,19,140.0,4560.0
5,4,940.0,960.0
4,6,800.0,1440.0
41,20,7700.0,4800.0
57,3,10740.0,720.0
3,1,530.0,240.0
7,4,1340.0,960.0
5,12,990.0,2880.0
15,5,2870.0,1200.0
2,3,310.0,720.0
3,27,560.0,6480.0
15,7,3070.0,1680.0
15,6,2870.0,1440.0
50,2,9370.0,480.0
3,19,520.0,4560.0
7,18,1250.0,4320.0
18,13,3110.0,3120.0
42,134,7430.0,32160.0
17,73,3330.0,17520.0
23,6,4450.0,1440.0
1,2,210.0,480.0
20,71,3770.0,17040.0
11,27,2220.0,6480.0
21,7,3800.0,1680.0
12,4,2380.0,960.0
24,15,4480.0,3600.0
65,2,11900.0,480.0
12,70,2050.0,16800.0
3,17,620.0,4080.0
30,25,5270.0,6000.0
26,1,5130.0,240.0
24,15,4170.0,3600.0
118,34,21100.0,8160.0
23,16,4230.0,3840.0
5,85,890.0,20400.0
25,6,4650.0,1440.0
22,40,4260.0,9600.0
1,12,140.0,2880.0
35,2,6250.0,480.0
7,15,1270.0,3600.0
10,1,1650.0,240.0
11,54,2050.0,12960.0
28,17,5120.0,4080.0
22,10,4200.0,2400.0
95,12,16910.0,2880.0
10,43,1840.0,10320.0
13,59,2190.0,14160.0
1,3,140.0,720.0
32,18,6000.0,4320.0
30,6,5390.0,1440.0
9,70,1570.0,16800.0
7,6,1360.0,1440.0
3,15,490.0,3600.0
21,46,3920.0,11040.0
3,4,610.0,960.0
42,12,7570.0,2880.0
1,3,210.0,720.0
9,34,1670.0,8160.0
5,6,870.0,1440.0
31,4,6020.0,960.0
5,5,890.0,1200.0
16,17,2670.0,4080.0
27,6,5090.0,1440.0
7,19,1360.0,4560.0
72,31,12680.0,7440.0
8,38,1440.0,9120.0
17,9,3160.0,2160.0
83,1,15640.0,240.0
20,21,3740.0,5040.0
16,5,2890.0,1200.0
75,17,13760.0,4080.0
57,12,10480.0,2880.0
57,65,10870.0,15600.0
5,53,870.0,12720.0
42,45,7460.0,10800.0
15,10,2780.0,2400.0
74,5,13460.0,1200.0
18,7,3470.0,1680.0
24,26,4160.0,6240.0
6,43,1280.0,10320.0
6,5,1020.0,1200.0
9,5,1790.0,1200.0
1,10,210.0,2400.0
32,2,6200.0,480.0
1,25,160.0,6000.0
73,11,13480.0,2640.0
1,16,140.0,3840.0
1,25,210.0,6000.0
21,4,3860.0,960.0
39,34,6990.0,8160.0
49,13,8740.0,3120.0
8,24,1490.0,5760.0
42,2,7460.0,480.0
6,23,1060.0,5520.0
116,1,21750.0,240.0
4,9,730.0,2160.0
1,16,240.0,3840.0
24,3,4690.0,720.0
5,6,890.0,1440.0
59,5,11100.0,1200.0
51,2,9490.0,480.0
92,4,17100.0,960.0
5,8,950.0,1920.0
48,27,9080.0,6480.0
7,9,1480.0,2160.0
2,6,440.0,1440.0
16,1,2910.0,240.0
4,3,790.0,720.0
2,37,310.0,8880.0
3,10,650.0,2400.0
25,6,4230.0,1440.0
2,1,390.0,240.0
16,7,3120.0,1680.0
13,16,2160.0,3840.0
48,8,8930.0,1920.0
37,19,7380.0,4560.0
16,32,2650.0,7680.0
61,8,10810.0,1920.0
30,33,5520.0,7920.0
6,2,1020.0,480.0
23,35,4220.0,8400.0
23,40,4040.0,9600.0
39,72,7440.0,17280.0
22,9,4110.0,2160.0
137,38,24490.0,9120.0
25,10,4140.0,2400.0
6,15,1240.0,3600.0
27,8,5110.0,1920.0
90,4,16330.0,960.0
36,24,6330.0,5760.0
35,14,6160.0,3360.0
72,10,12670.0,2400.0
65,29,11590.0,6960.0
72,19,13310.0,4560.0
22,2,4080.0,480.0
45,3,8340.0,720.0
14,60,2620.0,14400.0
25,4,4630.0,960.0
10,22,1780.0,5280.0
24,16,4140.0,3840.0
4,45,700.0,10800.0
9,19,1690.0,4560.0
12,18,2140.0,4320.0
3,1,670.0,240.0
12,23,2300.0,5520.0
41,20,7330.0,4800.0
24,11,4620.0,2640.0
49,49,9420.0,11760.0
2,3,390.0,720.0
10,1,2100.0,240.0
49,4,9030.0,960.0
14,59,2550.0,14160.0
2,19,310.0,4560.0
61,11,11290.0,2640.0
16,9,2820.0,2160.0
32,11,5690.0,2640.0
16,21,2800.0,5040.0
18,51,3190.0,12240.0
33,112,6190.0,26880.0
9,11,1630.0,2640.0
2,9,350.0,2160.0
52,19,9560.0,4560.0
11,55,2110.0,13200.0
28,39,5260.0,9360.0
5,9,900.0,2160.0
40,53,7410.0,12720.0
10,5,1860.0,1200.0
9,6,1690.0,1440.0
15,42,2840.0,10080.0
12,4,2300.0,960.0
1,3,160.0,720.0
27,7,4870.0,1680.0
21,1,3910.0,240.0
172,28,31320.0,6720.0
38,10,7340.0,2400.0
67,20,12340.0,4800.0
47,33,9010.0,7920.0
20,28,3740.0,6720.0
1,29,140.0,6960.0
134,54,24390.0,12960.0
34,18,6060.0,4320.0
23,25,4280.0,6000.0
56,8,9810.0,1920.0
49,19,9300.0,4560.0
1,98,240.0,23520.0
60,13,11320.0,3120.0
15,21,2790.0,5040.0
15,134,2440.0,32160.0
2,10,400.0,2400.0
38,8,7070.0,1920.0
9,13,1790.0,3120.0
16,26,2980.0,6240.0
14,25,2820.0,6000.0
15,18,2680.0,4320.0
21,1,3700.0,240.0
40,2,7330.0,480.0
4,32,690.0,7680.0
38,21,7350.0,5040.0
15,59,2750.0,14160.0
29,19,5490.0,4560.0
22,11,4360.0,2640.0
12,25,2270.0,6000.0
63,48,11420.0,11520.0
46,27,8500.0,6480.0
25,1,4820.0,240.0
35,4,6380.0,960.0
22,1,4090.0,240.0
17,28,3170.0,6720.0
10,36,1790.0,8640.0
9,21,1760.0,5040.0
3,5,610.0,1200.0
4,11,670.0,2640.0
1,14,210.0,3360.0
16,15,3010.0,3600.0
1,10,160.0,2400.0
110,13,20420.0,3120.0
12,7,2280.0,1680.0
41,4,7920.0,960.0
18,6,3180.0,1440.0
6,1,960.0,240.0
171,1,30760.0,240.0
15,55,2770.0,13200.0
18,3,3470.0,720.0
20,10,3840.0,2400.0
29,10,5300.0,2400.0
17,3,3400.0,720.0
